,listing_url,host_id,description,host_name,DISTRICTE,latitude,longitude,minimum_nights,last_review,calculated_host_listings_count,availability_365,NUMERO_REGISTRE_GENERALITAT,Tipo,TipoDescripcion,CODI_DISTRICTE,CODI_BARRI
1033,https://www.airbnb.com/rooms/4014183,1098565,"Habitación individual situada en una tercera planta de un apartamento con unas vistas espectaculares de toda Barcelona, tanto a la montaña como al mar. Perfectamente ubicado, en un barrio multicultural y cerca de cualquier medio de transporte.<br /><br /><b>The space</b><br />Las vistas, supermecados, farmacias, panaderías etc. y transporte cerca.<br /><br /><b>Guest access</b><br />Baño, salón, habitación.",Valentina,NOU BARRIS,41.43417,2.16982,1,2022-11-15,1,338,Nulo,0,Nulos-Ilegales,8,50.0
1120,https://www.airbnb.com/rooms/4816074,24591636,"Double room Gracia.<br />20' walk to the Ramblas,Gotic,Born,Plaza Cataluña,or 10' walk up to Diagonal metro station and in 2' you are in the center!<br />15' by metro to the beach ,very close to Sagrada Familia,Passeig de Gracia,and train station to Sitges.<br /><br /><b>The space</b><br />This room is perfect for a couple or a traveller who wants to stay in one of the trendy neighborhoods, excellent location. 3 minutes walk to Verdi Street, where all the shops, squares (Plaza del Sol, Revolución, Virreina, Diamant, etc), bars, original-version cinemas, terraces and cafes are.<br />20 minutes walk to the Ramblas, Raval, Gotic, Born, Plaza Cataluña, or 10' walk up to Diagonal Metro Station ( and in only 2' you are in the center of Barcelona!!) Gracia neighborhoud is has a very bohemian spirit, and spain culture is used to sleep very late at (URL HIDDEN) you are fortunate not staying in the middle of the crouded center, full of tourists and noise, but sometimes you can heard some people ",Hello Barcelona!!!,GRÀCIA,41.40099,2.16441,2,2022-11-22,2,331,Nulo,0,Nulos-Ilegales,6,30.0
1134,https://www.airbnb.com/rooms/4602186,17494216,"Welcome to the Born!  The most charming neighborhood of Barcelona! We are offering a comfortable and spacious double room with private bathroom in a big and sophisticated flat with balconies overlooking the magnificent cathedral of Santa Maria del Mar were we live.<br /><br /><b>The space</b><br />This place is one of it kind and is the perfect place for people that want to know how it feels to live in the heart of Barcelona. <br />We are renting a double bedroom with private bathroom in a magical Flat. The apartment is on the second floor of a 18th century building. It has 2 double bedrooms (bathroom in suite both) and we use the 2nd bedroom as a couple. <br />It is all furnished with optic fiber superfast WIFI, washing machine, dish washer, sound system, air-con/central heating etc..<br />NOTE: The Kitchen and living room are available only for breakfast until 10am max but you can use the fridge and access to it anytime.<br /><br /><b>Guest access</b><br />Copy of the keys, maps, gui",Amorita,CIUTAT VELLA,41.38295,2.18277,3,2022-11-19,1,90,Nulo,0,Nulos-Ilegales,1,2.5
1151,https://www.airbnb.com/rooms/4661131,24119278,"Comfortable and pleasant room in a luminous and spacious flat. Recently<br />renovated.  5 minutes walk to the Sagrada Familia cathedral Close to<br />a metro station, two stops from the city centre. Fully equipped flat, with lift,<br />internet and central heating<br /><br /><b>The space</b><br />A spacious and luminous flat, comfortable with simple and pleasant decoration. The kitchen and the living room share a central space which leads to the two bedrooms, my own room and yours. The whole flat is fully heated. The bathroom is next to the entrance area. Your bedroom has plenty of sun light and a double bed (two persons max), small table, a larger table, sofa, clothes rack and four wide shelves for clothing. Available for one or two people.<br /><br /><b>Guest access</b><br />Private space : my own room. <br />Communal areas : the rest of the flat; living room, kitchen and bathroom. The flat has internet (optic fibre connection).<br /><br /><b>Other things to note</b><br />I am a qua",Jordi,EIXAMPLE,41.40137,2.17856,3,2022-12-05,1,170,Nulo,0,Nulos-Ilegales,2,7.5
1216,https://www.airbnb.com/rooms/4810134,24591636,"Single room Gracia.<br />20' walk to the Ramblas,Gotic,Born,Plaza Cataluña,or 10' walk up to Diagonal metro station and in 2' you are in the center!<br />15' by metro to the beach ,very close to Sagrada Familia,Passeig de Gracia,and train station to Sitges.<br /><br /><b>The space</b><br />This room is perfect for a couple or a traveller who wants to stay in one of the trendy neighborhoods, excellent location. 3 minutes walk to Verdi Street, where all the shops, squares (Plaza del Sol, Revolución, Virreina, Diamant, etc), bars, original-version cinemas, terraces and cafes are.<br />20 minutes walk to the Ramblas, Raval, Gotic, Born, Plaza Cataluña, or 10' walk up to Diagonal Metro Station ( and in only 2' you are in the center of Barcelona!!) Gracia neighborhoud is has a very bohemian spirit, and spain culture is used to sleep very late at (URL HIDDEN) you are fortunate not staying in the middle of the crouded center, full of tourists and noise, but sometimes you can heard some people ",Hello Barcelona!!!,GRÀCIA,41.40063,2.1634,2,2022-11-20,2,352,Nulo,0,Nulos-Ilegales,6,30.0
1224,https://www.airbnb.com/rooms/5506097,28558021,"Alojamiento céntrico y privilegiado en Pl. Cataluña, silencioso y amplio, piso reformado y sofisticado con todas las necesidades cubiertas. Metro/tren, aerobús y playa muy próximos. Check in fin de semana desde las 11 am <br /><br />Privileged, central and large flat in Plaça Catalunya, full of amenities, near to metro/airport bus and the best touristic points&Barceloneta beach and World Mobile Congress. Weekend check in anytime after 11.00 am<br /><br /><b>The space</b><br />Situado en plaza Cataluña, grande y acogedor, mucha privacidad y próximo a los sitios turísticos más importantes, tiendas y restaurantes, en pleno corazón de Barcelona a 10 minutos en metro del Mobile World Congress. Con todas la necesidades básicas cubiertas como WIFI, calefacción, aire acondicionado, limpieza, tranquilidad y sobre todo calidad. Información turística sobre la ciudad y recomendaciones para comer. A 1 minuto del bus al aeropuerto, trenes, metro, Ramblas, Boquería y Paseo de Gracia.<br /><br />Locat",David&Edgar,CIUTAT VELLA,41.38485,2.17038,2,2022-10-17,1,58,Nulo,0,Nulos-Ilegales,1,2.5
1230,https://www.airbnb.com/rooms/5072622,10746845,"Apartamento, Super-céntrico. Inmejorables comunicaciones. 75 mts.  muy útiles. Perfecto para 4 personas. Dormitorio principal con vestidor. Habitación doble con literas . Un baño completo y aseo. Balcon  cubierto 5 m2 . Acceso minusválidos. <br /><br />E<br /><br /><b>The space</b><br />Excelentes comunicaciones, entre plaza Catalunya y Feria de Barcelona.  A 5 min. de la playa y 15 de la montaña. Ideal para vacaciones. Ideal para trabajar.<br />Perfecto y amplio para 4 personas<br /><br /><b>Guest access</b><br />Parking opcional el la misma finca con precios especiales para estancias cortas<br /><br /><b>Other things to note</b><br />Los accesos son perfectos para minusválidos. 2 ascensores.",Pedro,EIXAMPLE,41.38078,2.15848,3,2022-11-27,1,192,Nulo,0,Nulos-Ilegales,2,7.5
1232,https://www.airbnb.com/rooms/5558969,28819161,"Very bright single room in new building estate. Furnished with WIFI. Very well connected to different public transport. 10-15MIN from the beach walking. Fashionable district: POBLENOU.<br />Stays above 3 weeks negotiable price<br /><br /><b>The space</b><br />Apartment completely sunny . With all the amenities , ten minutes from the beach. In the center , surrounded by shops, bars ..<br />The schedule of the weekend and cheking chekout much more flexible<br /><br /><b>Guest access</b><br />Common areas such as kitchen, living room and terrace.<br /><br /><b>Other things to note</b><br />In the house there is a small cat. Good character , do not bother . Notice for allergic",Carla,SANT MARTÍ,41.40362,2.20021,3,2022-10-07,1,83,Nulo,0,Nulos-Ilegales,10,68.5
1313,https://www.airbnb.com/rooms/5793825,1447144,"Beautiful bright and sunny 3 nice 2 bedroom ""ACOMODIS"" apartments with 1 bathroom each ideally located in central Barcelona, in L'Eixample in a very nice and safe neighbourhood. This is a large 6 bedroom group of 3 nice 2 bedroom ""ACOMODIS"" apartments in a perfect location in the city!<br />""ACOMODIS"" apartments<br /><br /><b>The space</b><br />Welcome to Barcelona and to ""ACOMODIS"" apartments!<br /><br />The Sagrada Familia Building has been beautifully recently renovated and this group of 3 nice ""ACOMODIS"" apartments are now available for rental. In order to keep the ""Eixample flair"" the brick walls and Catalan vaults have been restored as well as doors and windows keeping their original carpentry, in connection with an elegant decoration, wood floors and high quality furniture.<br />But don't be fooled as these flats are equipped with the most modern furnishings including flat TVs and electronic locks. If you're travelling in a large group it is possible to reserve all the flats and",Acomodis Apartments,EIXAMPLE,41.40324,2.17268,1,2022-11-17,131,362,Nulo,0,Nulos-Ilegales,2,7.5
1357,https://www.airbnb.com/rooms/6233540,32344517,"Apartamento encantador, te sentirás como viviendo en una película. Ubicado en el Barrio Gótico de Barcelona a pocos pasos de la Catedral. A pocos minutos caminando encuentras Las Ramblas, Plaza Cataluña, El Borne, La Barceloneta, Restaurantes, Museos, Bares, entre otros.<br /><br /><b>The space</b><br />Este apartamento es una joya ubicado en pleno centro de la ciudad. Tiene dos habitaciones dobles, una de ella con salida a un pequeño balcón. Tiene un baño grande y muy cómodo, así como una salón comedor que tambien tiene salida a un balcón. La cocina es muy practica y tiene todo lo que necesitas para pasar unas vacaciones increíbles.<br /><br /><b>Guest access</b><br />El apartamento es muy amplio, cómodo y limpio, está decorado con muy buen gusto. Tiene una sala amplia, una cocina americana moderna con todo lo necesario, baño en perfectas condiciones, comedor y balcón. Acceso a internet.<br /><br /><b>Other things to note</b><br />No están permitidas las fiestas y deseamos que cuides ",Adolfo,CIUTAT VELLA,41.38376,2.1747,2,2022-11-27,1,76,Nulo,0,Nulos-Ilegales,1,2.5
1432,https://www.airbnb.com/rooms/7697720,40430085,"Enjoy your stay in Barcelona in this little and confortable apartment for 3 guests. Its close to Camp Nou (5min walking), and between 2 metro stations. <br />You have everything you need, wifi, Smart TV, 2 beds (1 double), towels, shower gel, etc.<br /><br /><b>Other things to note</b><br />HUTB-014518",Nil,SANTS-MONTJUÏC,41.37475,2.12407,3,2022-12-03,1,70,Nulo,0,Nulos-Ilegales,3,14.5
1472,https://www.airbnb.com/rooms/7480152,9857118,"Si  quieres conocer y estar en un lugar cercano a todo, pero tranquilo, este es tu lugar, habitación exterior con cama doble, a 5 minutos de la sagrada familia y lineas de metro, bus, supermercados, restaurantes y otros sitios de comida y turísticos!<br /><br /><b>The space</b><br />Esta es una habitación doble exterior con ventana que da a la calle. Tendrán disponibilidad de calefacción en invierno y de ventilador en verano. <br />Además, puede que haya otros huéspedes presentes por lo que si desean exclusividad también tendrán que notificarlo con antelación.<br /><br /><b>Guest access</b><br />Tendrán acceso a todas las áreas de la casa excepto las otras habitaciones privadas. Ambos baños estarán a vuestra disponibilidad y las áreas comunes como el salón y la cocina también. En la cocina se les otorgará de un compartimiento en la nevera y un compartimiento exterior para alimentos que deseen guardar en zonas secas. Además, tenemos todos los servicios básicos incluyendo WIFI, TV por ca",Gabi,GRÀCIA,41.40412,2.16717,28,2022-10-27,1,113,Nulo,0,Nulos-Ilegales,6,30.0
1497,https://www.airbnb.com/rooms/8305335,7347569,"Near one of the most beautiful monuments of Barcelona, the ""Sagrada Família"", just 3 minutes from the Sagrada Família metro station in a large and bright apartment, rent a comfortable double room whit balcony, and independent access to the apartment.<br /><br /><b>Guest access</b><br />Large living room with sofá, double room with exterior balcony.",Max,GRÀCIA,41.40433,2.17192,3,2022-10-28,3,340,Nulo,0,Nulos-Ilegales,6,30.0
1522,https://www.airbnb.com/rooms/8442239,1447144,"Beautiful bright and sunny spacious 2 bedroom ""ACOMODIS"" apartment located in central Barcelona, in Gothic Quarter in a very nice and safe neighbourhood. This is a nice 2 bedroom ""ACOMODIS"" apartment in a perfect location in the city!<br />""ACOMODIS"" apartments<br /><br /><b>The space</b><br />Welcome to Barcelona and to ""ACOMODIS"" apartments!<br /><br />IDEAL LOCATION IN THE GOTHIC QUARTER CLOSE TO LAS RAMBLAS<br /><br />*OUR HAPPY GUESTS are mature and young couples, families with older and young children, groups of friends and solo travelers.<br /><br />*WE OFFER OUR GUESTS an attractive ""ACOMODIS"" self catering apartment with 2 bedrooms, 1 bathroom and 3 balconies. Our ""ACOMODIS"" apartment is located in the Barcelona Old City - the Gothic Quarter. The building is on the corner of a charming square by the Roman Wall. This location places you right in the middle of historical Barcelona. The maze of semi-pedestrian streets ziz-zags between historical sights, traditional restaurants, t",Acomodis Apartments,CIUTAT VELLA,41.38289,2.18105,1,2022-08-02,131,365,Nulo,0,Nulos-Ilegales,1,2.5
1560,https://www.airbnb.com/rooms/9209321,47897025,"Two blocks away from the Rambla.3 minutes walk to Columbus statue by the old Seaport.Modern flat on a third floor in a quiet building with natural light,very clean and tidy with comfortable beds and balconies looking down to a Palm trees area",Alberto,CIUTAT VELLA,41.37747,2.17321,3,2022-11-15,1,31,Nulo,0,Nulos-Ilegales,1,2.5
1579,https://www.airbnb.com/rooms/9313510,1447144,"Beautiful bright and sunny spacious 2 bedroom ""ACOMODIS"" apartment with 1 bathroom ideally located in central Barcelona, in the Gothic Quarter in a very nice and safe neighbourhood. This is a nice 2 bedroom ""ACOMODIS"" apartment with 1 bathroom in a perfect location in the city!<br />""ACOMODIS"" apartments<br /><br /><b>The space</b><br />Welcome to Barcelona and to ""ACOMODIS"" apartments!<br /><br />IDEAL LOCATION IN THE GOTHIC QUARTER CLOSE TO LAS RAMBLAS<br /><br />*OUR HAPPY GUESTS are mature and young couples, families with older and young children, groups of friends and solo travelers.<br /><br />*WE OFFER OUR GUESTS an attractive ""ACOMODIS"" self catering apartment with 2 bedrooms, 1 bathroom and 3 balconies. Our ""ACOMODIS"" apartment is located in the Barcelona Old City - the Gothic Quarter. The building is on the corner of a charming square by the Roman Wall. This location places you right in the middle of historical Barcelona. The maze of semi-pedestrian streets ziz-zags between h",Acomodis Apartments,CIUTAT VELLA,41.38143,2.1804,1,2022-11-23,131,363,Nulo,0,Nulos-Ilegales,1,2.5
1580,https://www.airbnb.com/rooms/9323479,48390436,"#Please note: Apartment available for a minimum of 7 nights#<br /><br />This flat is ideal for holidays: <br />* Close to the centre and all the tourist attractions that Barcelona has to offer.<br /><br />* Well communicated (5 min from the metro and 2 metro lines + many buses to the centre).<br /><br />* With a terrace: 16m2 and sun all day!<br /><br />* All amenities (lift, air conditioning, wifi, dishwasher..)<br /><br />* Elevator<br /><br />* The flat is very sunny (south facing).<br /><br /><b>The space</b><br />This flat has all commodities to make you feel well. It is lightful, with lift, close to city centre, nice bars and restaurants nearby, quite street (and good windows isolation), very quite neighbours in the building and most of all, great roof terrace! I really enjoy my flat, it is perfect for a coupl.<br /><br /><b>Guest access</b><br />You will have access to my flat and the private roof terrace.",Morgane,SANTS-MONTJUÏC,41.37412,2.16374,4,2022-11-16,1,32,Nulo,0,Nulos-Ilegales,3,14.5
1609,https://www.airbnb.com/rooms/8949457,7347569,"Near one of the most beautiful monuments of Barcelona, the ""Sagrada Família"", just 3 minutes from the Sagrada Família metro station, in a large and bright apartment.",Max,EIXAMPLE,41.40644,2.17025,3,2022-10-23,3,346,Nulo,0,Nulos-Ilegales,2,7.5
1618,https://www.airbnb.com/rooms/9935318,49563992,"Es una amplia habitación , con todo lo que necesitas para tener una estancia agradable y tranquila , cuenta con un espacio acondicionado con nevera , microondas, y una mesa para comer, sofá y mesa para trabajar dentro de la habitación, con balcón y mesa para fumar,  el baño es compartido con 2 personas,  es un entresuelo ( 1 era planta), hay que subir unos pocos escalones, <br />Se encuentra justo al lado de al menos 7 atracciones turísticas,  las fuentes Mágicas, la Plaza España, Cc las Arenas , etc<br /><br /><b>The space</b><br />La habitación esta ubicada en el centro de Barcelona. La estación del metro más cercana Plaza España (Linea 1 y 3)  y AEROBUS a 3 min caminando. Se tardan solo 10 minutos (3 estaciones) en llegar al centro histórico de Las Ramblas y Plaza Cataluña. Y consta de 7 líneas de autobuses urbanos. El apartamento también esta muy bien ubicado para aquéllos que quieren explorar Barcelona. Principal estación de Trenes de Barcelona. Las atracciones mas cercanas al apa",Victor,SANTS-MONTJUÏC,41.37478,2.14588,2,2022-12-01,1,355,Nulo,0,Nulos-Ilegales,3,14.5
1804,https://www.airbnb.com/rooms/11596981,61108030,"El sitio es muy céntrico y tiene muy buena comunicación también le gustará la habitación con cama de matrimonio y un lavabo todo muy limpio y cuidado. El cuarto cuenta con armario grande,<br />cómoda de cuatro cajones, mesita de noche con tres cajones y una mesa escritorio. Es una casa muy acogedora. Tiene Wifi.<br /><br />Habitación para dos personas con la posibilidad de añadir un huésped extra ya que se dispone de una cama individual completa que se puede instalar en la habitación.<br /><br /><b>The space</b><br />SE PUEDE UITLIZAR LA COCINA SOLO PARA EL DESAYUNO.",Elvira,SARRIÀ-SANT GERVASI,41.40456,2.13981,3,2022-12-04,1,131,Nulo,0,Nulos-Ilegales,5,24.5
1820,https://www.airbnb.com/rooms/12202181,57236849,"A cozy apartment, very clean, communicative neighborhood, easy going hostess. :)<br /><br />A less than 5min by foot to La Fira Congress Center! Ideal for people who prefer to stay in calm, safe neighborhood, very well connected and not so far located from the city center.<br /><br />Friendly Ambient, Great Hostess and Fast Unlimited Internet are the three main qualities.<br /><br />A cleaning of the common areas such as kitchen, toilet, balcony and living room is organized every day.<br /><br /><b>The space</b><br />Friendly ambient, cosy apartment, a very positive, helpful and communicative hostess. A very clean apartment and it has a beautiful view. <br /><br />A cleaning of the common areas such as kitchen, toilet, balcony and living room is organized every day. So, if you want to relax in a clean and organized flat, you are welcome. <br /><br />Especially enjoyable for people who love short walks up to the Montjüic Castle. <br /><br />Bus stop is only a 2min by foot.<br /><br />Pl",Emilija,SANTS-MONTJUÏC,41.35862,2.13642,4,2022-09-07,5,32,Nulo,0,Nulos-Ilegales,3,14.5
1835,https://www.airbnb.com/rooms/12840292,49172933,"Bonita y confortable habitación doble en pleno centro de Barcelona con baño y servicios compartidos.Ofrecemos una sonrisa y un rico desayuno cada mañana para empezar bien el dia. Vivimos a 5 minutos  caminando de Plaza España y 15 de Plaza Catalunya.<br /><br /><b>The space</b><br />Hello Guys! <br />I'm Carole, Italian, 28 years old. I've been living in Barcelona since 2010 and I have just decided to rent one room of my spare bedroom to earn a little bit of money and to meet new people!",Carole,EIXAMPLE,41.37673,2.15781,1,2022-11-24,1,265,Nulo,0,Nulos-Ilegales,2,7.5
1864,https://www.airbnb.com/rooms/13590196,6976046,"Double room with private bathroom, a good double mattress of high quality viscolastic, closet,.. in a quite and complete flat.<br />The location is excellent, very centric only 2 blocks 200 mts. to Passeig de Gracia and 4 to Plaça Catalunya, and there is a social pool inside the building.<br />And is not problem the hour to arrive check in and ckeck out also, is not necessary to leave 12 exactly, is flexible.",Albert,EIXAMPLE,41.39178,2.17118,2,2022-09-18,9,356,Nulo,0,Nulos-Ilegales,2,7.5
1865,https://www.airbnb.com/rooms/13070531,16571993,"Lugares de interés: Bar Mut, The Sutton Club, Turó Parc, Mercado Galvany, . Te va a encantar mi lugar debido a el espacio acogedor, las vistas, y la ubicación. Mi alojamiento es bueno para parejas.<br /><br /><b>The space</b><br />Fantástica habitación en el corazón del barrio de Sant Gervasi, muy luminosa, con una terraza con vistas a la ciudad y baño propio. Además del espacio del dormitorio, la habitación dispone de una zona de despacho con una mesa y un sofá-cama. Cama doble, ducha grande, terraza tranquila y mucha, mucha luz.<br /><br /><b>Guest access</b><br />Un salon con TV de plasma, cocina luminosa, terraza grande y alegre. <br />Lavavajillas, lavadora y secadora.",Catalina,SARRIÀ-SANT GERVASI,41.39607,2.14162,3,2022-07-30,1,353,Nulo,0,Nulos-Ilegales,5,24.5
1890,https://www.airbnb.com/rooms/13114888,72935372,"Es un piso muy bonito y renovado en una finca antigua, barrio es espectacular, céntrico y seguro! En esta casa vivimos mi pareja y yo, no habrá más gente. Somos simpáticos y cercanos.  Respetamos todas las nacionalidades, religiones, opiniones, formas de ser, no tenemos prejuicios.<br />Si buscas un lugar bonito, limpio y tranquilo, la seguridad y la privacidad, un barrio espectacular y céntrico, los consejos fantásticos sobre la ciudad…y todo esto por muy buen precio…esto es tu lugar!<br /><br /><b>The space</b><br />Las personas alquilan solo habitación ( no el piso entero). No es grande pero práctica y con todo lo necesario para una linda estancia. Si piensan llevar muchas maletas grandes, quizás no es mejor opción para ustedes. Los muebles, la decoración y el<br />Colchón son nuevos y de buena calidad.<br />Es muy tranquila, por lo tanto se descansa bien por la noche. Es muy limpia y coqueta.<br />Hay una pequeña mesita plegable para comer algo.<br />Por la noche se puede encender ",Mira Y Rubén,EIXAMPLE,41.4018,2.17879,2,2022-11-26,1,75,Nulo,0,Nulos-Ilegales,2,7.5
1913,https://www.airbnb.com/rooms/13743908,80476106,"Fantastic 4 bedroom apartment with terrace near Camp Nou, completely renovated for an unforgettable stay in the city. You will be right next to FC Barcelona´s stadium and only a few steps away from a metro station that will take you to other tourist hotspots in the city. The apartment is very spacious, extremely comfortable and has a modern design. Without doubt, the best home away from home you will find in Barcelona.<br /><br /><b>The space</b><br />This fantastic flat has 4 bedrooms, a big terrace, fully equipped modern kitchen, 2 bathrooms and a spacious living room. It's bright and it has been completely renovated with design furniture - it has some of the best tecnology for your confort. The apartment include Wifi, central heating and AC and a alarm system available on demand.<br /><br />The living room has a confortable leather couch, a flat screen TV with digital channels and a nice dinner table with four chairs. The kitchen is modern, fully equipped with all you might need. we",Fernando,LES CORTS,41.37739,2.11866,3,2022-11-20,3,170,Nulo,0,Nulos-Ilegales,4,20.0
1927,https://www.airbnb.com/rooms/14006318,6976046,"Habitación doble con cama amplia, armario, mesita ... en apartamento atico totalmente equipado en cocina, comedor, baño completo, y una grande terraza,... <br />La ubicación es excelente, muy céntrico a sólo 10 min de Plaça Catalunya, y a 20 de la playa. <br />Ell checkin y checkout es muy flexible adaptándose a las necesidades de los huéspedes.",Albert,EIXAMPLE,41.3971,2.18031,2,2022-10-19,9,164,Nulo,0,Nulos-Ilegales,2,7.5
1951,https://www.airbnb.com/rooms/14435096,88852747,"The recently renewed bedroom with interior window and equipped with all that you need.  It is in a typical apartment of la Eixample of 140 m2 where you can enjoy the common areas: a big kitchen, a saloon, a big bathroom and a toilet.  . You will be in the ideal area to know the city walking by, but also really close to the metro and train station Arc de Triomf, the center (Plaza Catalunya), and the beaches. Welcome to this great room!<br /><br /><b>The space</b><br />This amazing room, will assure you an unforgettable stay in the city, cause you’re live in the central area and with great accesso to all the corners of the city.<br />The bedroom has a big window to the backyard with natural light and fresh air, with a big wardrobe that will fit your entire luggage. Theres no table.<br />It's a huge flat with 5 rooms, 3 of them are rented on AirBnb guests, one for me and my girlfriends Victoria and another empty room. We all share the common areas. <br />The living room has a big balcony ",Xavier,EIXAMPLE,41.39101,2.17841,3,2022-11-30,4,118,Nulo,0,Nulos-Ilegales,2,7.5
1952,https://www.airbnb.com/rooms/14089552,15308703,"This is a nice flat next to the famous Arch de Triumph and Ciutadella park and in a super centric area close to everything. It is 15 minutes walking from the beach and from Las Ramblas, also you can find all facilities downstairs (there is a supermarket next door). I am the owner of the flat and It will be shared with me only. Well not really only me cause I have a dog ROCKY, picher mini, living with me.<br /><br />Wish you a nice stay :)<br /><br /><b>Guest access</b><br />Guest can have access to all the flat except my room.",Federica,CIUTAT VELLA,41.38867,2.17981,4,2022-10-20,1,355,Nulo,0,Nulos-Ilegales,1,2.5
1953,https://www.airbnb.com/rooms/14436579,88852747,"Interior room. The recently renewed bedroom , equipped with all that you need.  It is in a typical apartment of la Eixample of 140 m2 where you can enjoy the common areas: a big kitchen, a saloon, a big bathroom and a toilet.  . You will be in the ideal area to know the city walking by, but also really close to the metro and train station Arc de Triomf, the center (Plaza Catalunya), and the beaches. Welcome to this great room!<br /><br /><b>The space</b><br />The bedroom is an interior room, without exterior window, with a big wardrobe that will fit your entire luggage and a table for a more private breakfast or workspace.<br />This amazing room, will assure you an unforgettable stay in the city, cause you’re live in the central area and with great accesso to all the corners of the city.<br />It's a huge flat with 5 rooms, 3 of them are rented on AirBnb guests, one for me and another its empty right now. We all have the same access to the common areas. <br />The living room has a big b",Xavier,EIXAMPLE,41.3913,2.17829,3,2022-12-07,4,135,Nulo,0,Nulos-Ilegales,2,7.5
1954,https://www.airbnb.com/rooms/14439632,88852747,"The recently renewed bedroom with views to Arc del Triomf, with access to a small balcony and equipped with all that you need.  It is in a typical apartment of la Eixample of 140 m2 where you can enjoy the common areas: a big kitchen, a saloon, a big bathroom and a toilet.  . You will be in the ideal area to know the city walking by, but also really close to the metro and train station Arc de Triomf, the center (Plaza Catalunya), and the beaches. Welcome to this great room!<br /><br /><b>The space</b><br />This amazing room, will assure you an unforgettable stay in the city, cause you’re live in the central area and with great accesso to all the corners of the city.<br />The bedroom has access to a small balcony and plenty of natural light, has a big wardrobe that will fit your entire luggage and a table for a more private breakfast or workspace.<br />It's a huge flat with 5 rooms, 3 of them are rented on AirBnb guests, one for me and another now a days empty. We all have the same acce",Xavier,EIXAMPLE,41.39254,2.17948,3,2022-12-04,4,155,Nulo,0,Nulos-Ilegales,2,7.5
1958,https://www.airbnb.com/rooms/13840632,81670000,"Zona trankila a 20 min auobus y 10 min metro al centro. Cada habitacion consta de 2 armario, escritorio y mesita de noche,cama doble, una nevera pequeña. Wifi, cocina equipada  y salón  comedor comunitario.",Maribel,GRÀCIA,41.41673,2.13615,1,2022-09-25,1,225,Nulo,0,Nulos-Ilegales,6,30.0
1960,https://www.airbnb.com/rooms/14099815,80862839,Habitación individual en A lado de todos los bares gay a dos calles de la disco que hay arena  A cinco minutos de plaza Cataluña andando A una calle y media del metro plaza universidad,Jose Gregorio,EIXAMPLE,41.38022,2.15931,1,2022-11-06,1,364,Nulo,0,Nulos-Ilegales,2,7.5
1967,https://www.airbnb.com/rooms/14486701,89379603,"Habitación  matrimonial cómoda  por 1 año Minimo ideal para estudiante.Ubicada en pleno barrio de Gracia  a 2 minutos de Renfe y menos de 5 minutos  del metro de Fontana incluye  Cocina, baño nevera .cuenta con nevera privada<br /><br /><b>The space</b><br />Habitación  con todos los servicios,ubicada en un excelente barrio de Gracia.<br /><br /><b>Guest access</b><br />Barrio de gracia  y muy cerca de la ramblas.<br /><br /><b>Other things to note</b><br />contamos con una terraza y hermosa vista.",Jhonny Alejandro,GRÀCIA,41.39964,2.15349,2,2022-11-01,1,364,Nulo,0,Nulos-Ilegales,6,30.0
1971,https://www.airbnb.com/rooms/14495886,6440167,"Lugares de interés: Plaça Catalana, Mercat del Carmel, Creueta del Coll, Park Güell, Montaña del Guinardo. Te va a encantar mi lugar debido a la cocina, el espacio acogedor, los techos altos, las vistas, la ubicación, Privacidad, Ambiente Familiar. Mi alojamiento es bueno para parejas, aventureros, viajeros de negocios, familias (con hijos), grupos grandes.",Dennys,HORTA-GUINARDÓ,41.42393,2.14947,15,2022-08-28,3,364,Nulo,0,Nulos-Ilegales,7,38.0
1975,https://www.airbnb.com/rooms/14121353,70199190,"Welcome!<br />This is an exceptional home located in the heart of Barcelona, recently renovated and designed to reflect the style of the city.<br />The location, right next to Plaça de Catalunya is like no other, with the most iconic cultural and social city referents within a 10min (or less) walk or a 10min metro ride.<br />You can enjoy Barcelona’s greatest offer of traditional and up and coming restaurants after a quick stroll through the streets. <br />It's perfect for families!<br /><br /><b>The space</b><br />The apartment will make you feel like at your own home in Barcelona. The space features modern amenities such as plus wifi, smart TV, AC, centralised heating, washing machine, dishwasher, dryer, iron, a Nespresso coffee maker and a LIFT. Everything you need to be in comfort ;)",Esther,EIXAMPLE,41.38759,2.16704,29,2022-07-15,1,231,Nulo,0,Nulos-Ilegales,2,7.5
